guid;title;published;oid;tecnica;size;year
1;Esperanza;;1;Técnica mixta; ;2000
2;Juntos;;2;Acuarela;33 x 39 cm;2002
3;Juntos... siete años despues;;3;Acrílico sobre canvas;46 x 60 cm;2009
4;Unión vital;;4;Acrílico;42 x 52 cm;2002
5;Reddish;;5;Acrílico;44.5 x 52 cm;2002
6;Cíclope;;6;Técnica mixta;51 x 61 cm;2002
7;Raíces;;7;Acrílico;42 x 52 cm;2002
8;Visualización;;8;Acuarela;25 x 18.5 cm;2002
9;Depressed;;9;Acrílico y prismacolor;48 x 58.5 cm;2004
10;La visión;;10;Acrílico sobre canva;103 x 79 cm;2006
11;Esquizofrenia;;11;Acrílico;43 x 52 cm;2006
12;Beso de piquito;;12;Acrílico sobre canva;60 x 60 cm;2008
13;Besucona;;13;Acrílico sobre canva;60 x 60 cm;2009
14;Caos;;14;Grafito;34 x 29 cm;2009
15;Emoción jícarandosa;;15;Jícara de base, papel, alambre, vendas de yeso, pegamento, pintura acrílica;18  20 x 22cm;2009
16;Estresado;;16;Papel, alambre, goma epóxica ready mix, pintura acrílica;36 x 15 x 27cm;2003
17;Moon lovers;;17;Papel, alambre, metal, ready mix, madera, pintura acrílica;35 x 21.5 x 32 cm;2007
18;Boca Compartida;;18;Acrílico sobre piedra; ;2009
19;Bocotas;;19;Acrílico sobre piedra; ;2009
20;Buho;;20;Acrílico sobre piedra; ;2009
21;Comepecado;;21;Acrílico sobre piedra; ;2009
22;Metamorfosis;;22;Acrílico sobre piedra; ;2009
23;Monarca;;23;Acrílico sobre piedra; ;2009
24;Sonriente;;24;Acrílico sobre piedra; ;2009
25;Aquamarine;;25;Acrílico sobre piedra; ;2009
26;Bluemoon;;26;Acrílico sobre piedra; ;2009
27;Dos caras;;27;Acrílico sobre piedra; ;2009
28;Dos sexos;;28;Acrílico sobre piedra; ;2009
29;El sacrificio;;29;Acrílico sobre piedra; ;2009
30;Frankenstone;;30;Acrílico sobre piedra; ;2009
31;Pareja;;31;Acrílico sobre piedra; ;2009
32;Rosa masculino;;32;Acrílico sobre piedra; ;2009
33;Sexy girl;;33;Acrílico sobre piedra; ;2009
34;Sin título;;34;Acrílico sobre piedra; ;2009
35;Sweetheart;;35;Acrílico sobre piedra; ;2009
